epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.861,1.96394,1.84915,0.9663,0.76415,0.72139,0.74099,0.35984,1.95669,3.43191,1.2488,0.000475706,0.000475706,0.000475706
2,261.379,1.73293,1.26316,0.92236,0.79053,0.77185,0.80941,0.4619,1.76281,1.8409,1.18893,0.000920622,0.000920622,0.000920622
3,365.963,1.65022,1.18979,0.91165,0.79517,0.78771,0.82564,0.49628,1.66626,1.60838,1.1787,0.0013341,0.0013341,0.0013341
4,472.679,1.62603,1.12321,0.91213,0.82413,0.78929,0.83776,0.49882,1.65712,1.78247,1.17826,0.00128753,0.00128753,0.00128753
5,821.576,1.58952,1.07018,0.9028,0.81141,0.80145,0.84226,0.49635,1.67513,1.73045,1.15987,0.00124037,0.00124037,0.00124037
6,928.714,1.59555,1.03671,0.89926,0.83351,0.80146,0.85226,0.51962,1.62711,1.71836,1.14939,0.00119322,0.00119322,0.00119322
7,1034.06,1.54715,1.02326,0.89619,0.82168,0.78111,0.83296,0.4908,1.69072,1.8795,1.18297,0.00114606,0.00114606,0.00114606
8,1156.78,1.53179,0.99432,0.89429,0.83301,0.80452,0.85551,0.533,1.62656,1.59538,1.16898,0.0010989,0.0010989,0.0010989
9,2030.33,1.52625,0.97927,0.89312,0.85,0.79985,0.86121,0.52658,1.63228,1.47388,1.15055,0.00105174,0.00105174,0.00105174
10,2139.05,1.50982,0.96247,0.89203,0.82554,0.81902,0.8613,0.5289,1.63054,2.72875,1.17976,0.00100459,0.00100459,0.00100459
11,2266.11,1.49264,0.96726,0.88954,0.82868,0.82253,0.86389,0.53709,1.58383,1.52755,1.14708,0.00095743,0.00095743,0.00095743
12,2378.01,1.49698,0.92793,0.88769,0.83519,0.81624,0.86613,0.5369,1.59683,1.40131,1.15056,0.000910273,0.000910273,0.000910273
13,2510.41,1.47877,0.92925,0.88557,0.84595,0.82056,0.8732,0.54792,1.57308,1.53183,1.14358,0.000863116,0.000863116,0.000863116
14,2616.21,1.46469,0.92798,0.88398,0.84259,0.82462,0.86891,0.5425,1.62018,1.68322,1.16672,0.000815959,0.000815959,0.000815959
15,2726.65,1.46778,0.91445,0.88349,0.85688,0.82375,0.87597,0.55387,1.52765,1.33787,1.12547,0.000768802,0.000768802,0.000768802
16,2875.13,1.45076,0.91316,0.88425,0.85954,0.82423,0.8767,0.55078,1.54564,1.41183,1.12126,0.000721645,0.000721645,0.000721645
17,2978.27,1.4312,0.88576,0.87927,0.85265,0.81726,0.86771,0.54549,1.53015,1.71617,1.10607,0.000674488,0.000674488,0.000674488
18,3083.65,1.43779,0.89075,0.88189,0.84899,0.81988,0.86733,0.54691,1.62907,1.57621,1.15585,0.000627331,0.000627331,0.000627331
19,3187.4,1.42627,0.87223,0.87719,0.85755,0.82131,0.87655,0.55672,1.50838,1.45873,1.13118,0.000580174,0.000580174,0.000580174
20,3305.13,1.42731,0.88663,0.87984,0.86295,0.82419,0.87686,0.56057,1.48933,1.42222,1.10186,0.000533017,0.000533017,0.000533017
21,3431.32,1.42098,0.94976,0.89701,0.86003,0.82444,0.8792,0.55442,1.52614,1.45675,1.1161,0.00048586,0.00048586,0.00048586
22,3554.56,1.42432,0.94054,0.90313,0.84758,0.81484,0.8745,0.5489,1.59438,1.36686,1.15627,0.000438703,0.000438703,0.000438703
23,3680.93,1.42609,1.0799,0.90149,0.85184,0.81477,0.86764,0.54822,1.5858,1.50594,1.18827,0.000391546,0.000391546,0.000391546
24,3800.92,1.40555,1.02206,0.90562,0.84721,0.82086,0.86453,0.54723,1.56098,1.51882,1.17541,0.000344389,0.000344389,0.000344389
25,3937.71,1.38325,0.9158,0.89268,0.85779,0.82304,0.88036,0.56163,1.54265,1.36215,1.14666,0.000297232,0.000297232,0.000297232
26,4058.32,1.3877,0.8964,0.89549,0.86248,0.83099,0.88065,0.56619,1.55588,1.44604,1.14314,0.000250075,0.000250075,0.000250075
27,4173.2,1.36494,0.87105,0.89165,0.8649,0.82814,0.88194,0.55986,1.52829,1.35578,1.11048,0.000202918,0.000202918,0.000202918
28,4300.6,1.37301,0.88873,0.89622,0.86839,0.83196,0.88545,0.57114,1.51821,1.25439,1.1179,0.000155761,0.000155761,0.000155761
29,4427.34,1.36806,0.88087,0.89135,0.86897,0.82284,0.88241,0.56975,1.50442,1.24591,1.10576,0.000108604,0.000108604,0.000108604
30,4558.76,1.3487,0.85619,0.88819,0.86662,0.82617,0.88474,0.57005,1.50338,1.23653,1.10677,6.1447e-05,6.1447e-05,6.1447e-05
