epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.159,1.92778,6.56912,1.4018,0.62004,0.6742,0.63597,0.31093,1.68364,6.89745,1.38092,0.000475871,0.000475871,0.000475871
2,419.153,1.8508,3.44713,1.41511,0.59832,0.6664,0.64274,0.31183,1.69583,1.92485,1.37296,0.000920781,0.000920781,0.000920781
3,673.378,1.84427,2.29772,1.42437,0.62309,0.69894,0.70011,0.33693,1.67236,2.02516,1.31841,0.00133425,0.00133425,0.00133425
4,897.552,1.83938,2.03788,1.40851,0.59579,0.68649,0.62395,0.30186,1.65034,2.46064,1.39588,0.00128753,0.00128753,0.00128753
5,1126.31,1.80941,1.84287,1.40544,0.66347,0.69589,0.69737,0.34563,1.64943,1.42304,1.33232,0.00124037,0.00124037,0.00124037
6,1326.75,1.83068,1.72092,1.40935,0.68378,0.73722,0.7357,0.35783,1.65813,1.41911,1.36776,0.00119322,0.00119322,0.00119322
7,1517.32,1.81857,1.63288,1.41479,0.68742,0.73435,0.73268,0.35301,1.67556,1.38761,1.32915,0.00114606,0.00114606,0.00114606
8,1715.05,1.83098,1.55767,1.40124,0.64464,0.70653,0.70162,0.35581,1.69888,1.36262,1.31965,0.0010989,0.0010989,0.0010989
9,1913.13,1.80287,1.49121,1.39763,0.70596,0.74192,0.75426,0.37332,1.64762,1.27923,1.34113,0.00105174,0.00105174,0.00105174
10,2112.97,1.7954,1.43242,1.38419,0.69668,0.72691,0.73595,0.3712,1.66218,1.34646,1.33971,0.00100459,0.00100459,0.00100459
11,2304.66,1.79327,1.38551,1.39612,0.7164,0.76366,0.76733,0.38302,1.64818,1.2034,1.33718,0.00095743,0.00095743,0.00095743
12,2493,1.77887,1.42216,1.39897,0.69564,0.75207,0.75205,0.37429,1.66605,1.31192,1.40236,0.000910273,0.000910273,0.000910273
13,2680.5,1.78391,1.36495,1.39187,0.73271,0.76112,0.76783,0.38521,1.64588,1.27128,1.34869,0.000863116,0.000863116,0.000863116
14,2869.68,1.78088,1.34639,1.38944,0.73885,0.7609,0.77019,0.39474,1.65394,1.21573,1.3577,0.000815959,0.000815959,0.000815959
15,3061.39,1.76506,1.35131,1.38201,0.72864,0.78681,0.78554,0.3955,1.64092,1.17876,1.35454,0.000768802,0.000768802,0.000768802
16,3246.59,1.78429,1.33055,1.38729,0.72359,0.7656,0.78302,0.39862,1.63011,1.16182,1.34514,0.000721645,0.000721645,0.000721645
17,3437.73,1.77614,1.31215,1.37809,0.74005,0.79054,0.78946,0.39724,1.6414,1.19592,1.33963,0.000674488,0.000674488,0.000674488
18,3623.58,1.77014,1.25249,1.37768,0.75021,0.76676,0.78666,0.39827,1.64491,1.11835,1.34607,0.000627331,0.000627331,0.000627331
19,3816.53,1.75942,1.24552,1.37194,0.7327,0.78821,0.79729,0.39941,1.64613,1.11335,1.36204,0.000580174,0.000580174,0.000580174
20,4000.31,1.75252,1.23701,1.36465,0.73046,0.77595,0.78253,0.40266,1.65568,1.20794,1.3482,0.000533017,0.000533017,0.000533017
21,4199.59,1.67248,1.20114,1.33445,0.75249,0.79043,0.79576,0.40267,1.63965,1.10048,1.33248,0.00048586,0.00048586,0.00048586
22,4388.32,1.63261,1.15671,1.30117,0.72969,0.79565,0.80559,0.41119,1.63348,1.06116,1.35338,0.000438703,0.000438703,0.000438703
23,4583.27,1.67127,1.15602,1.34372,0.76382,0.79709,0.80883,0.40862,1.63658,1.06868,1.34737,0.000391546,0.000391546,0.000391546
24,4776.89,1.65383,1.10948,1.3287,0.74969,0.79089,0.80566,0.40138,1.65068,1.03971,1.34883,0.000344389,0.000344389,0.000344389
25,4969.16,1.64782,1.10193,1.31203,0.7509,0.80492,0.81463,0.41863,1.63318,1.03052,1.33922,0.000297232,0.000297232,0.000297232
26,5155.91,1.62918,1.08363,1.30661,0.76914,0.77721,0.80532,0.42174,1.62937,1.03762,1.33333,0.000250075,0.000250075,0.000250075
27,5342.35,1.63659,1.06689,1.31255,0.75059,0.79619,0.81083,0.41455,1.64724,1.01155,1.35289,0.000202918,0.000202918,0.000202918
28,5537.16,1.64889,1.05045,1.32372,0.75711,0.80234,0.81793,0.42341,1.63268,0.99153,1.33946,0.000155761,0.000155761,0.000155761
29,5728.95,1.63455,1.0367,1.31112,0.76392,0.81202,0.82172,0.42959,1.64053,1.00002,1.34122,0.000108604,0.000108604,0.000108604
30,5923.55,1.61706,1.02993,1.29713,0.76839,0.80856,0.82187,0.42751,1.63073,0.9919,1.33736,6.1447e-05,6.1447e-05,6.1447e-05
